1,47373745
3,38420537
5,34786387
7,32352949
9,30392552
11,29027173
13,27838342
15,26920947
17,26110949
19,25501991
21,25004445
23,24565074
25,24212142
27,23977354
29,23796786
31,23717563
33,23640693
35,23675781
37,23711590
39,23811862
41,24027223
43,24279839
45,24563512
47,24962130
49,25310902
51,25799609
53,26306419
55,26934068
57,27591557
59,28313256
61,29130707
63,30012123
65,30953871
67,32008842
69,33175429
71,34510624
73,35907306
75,37471083
77,39161140
79,41180945
81,43315034
83,45847430
85,48772272
87,52050188
89,55848669
91,60711318
93,66651220
95,74439976
97,85844812
99,106679083
